correct,false_negative,false_positive,max_probe_bytes,mean_decision_byte,mean_oracle_regret_bpb,min_projected_gain_bits,persistence_observations,recent_gain_bits,recent_window
10,1,3,96,31.571428571428573,0.008527483258928572,64,2,4,16
10,1,3,96,31.571428571428573,0.008527483258928572,128,2,4,16
10,1,3,96,31.571428571428573,0.008527483258928572,256,2,4,16
10,1,3,96,33.357142857142854,0.008527483258928572,0,4,1,16
10,1,3,96,33.357142857142854,0.008527483258928572,32,4,1,16
10,1,3,96,33.357142857142854,0.008527483258928572,64,4,1,16
11,2,1,96,16.214285714285715,0.032871791294642856,128,4,1,16
7,7,0,96,0,0.08292061941964286,256,4,1,16
10,1,3,96,33.357142857142854,0.008527483258928572,0,4,2,16
10,1,3,96,33.357142857142854,0.008527483258928572,32,4,2,16
10,1,3,96,33.357142857142854,0.008527483258928572,64,4,2,16
10,1,3,96,33.357142857142854,0.008527483258928572,128,4,2,16
11,2,1,96,16.214285714285715,0.032871791294642856,256,4,2,16
10,1,3,96,33.357142857142854,0.008527483258928572,0,4,3,16
10,1,3,96,33.357142857142854,0.008527483258928572,32,4,3,16
10,1,3,96,33.357142857142854,0.008527483258928572,64,4,3,16
10,1,3,96,33.357142857142854,0.008527483258928572,128,4,3,16
10,1,3,96,33.357142857142854,0.008527483258928572,256,4,3,16
10,1,3,96,33.357142857142854,0.008527483258928572,0,4,4,16
10,1,3,96,33.357142857142854,0.008527483258928572,32,4,4,16
10,1,3,96,33.357142857142854,0.008527483258928572,64,4,4,16
10,1,3,96,33.357142857142854,0.008527483258928572,128,4,4,16
10,1,3,96,33.357142857142854,0.008527483258928572,256,4,4,16
10,1,3,96,35.92857142857143,0.008527483258928572,0,8,1,16
10,1,3,96,35.92857142857143,0.008527483258928572,32,8,1,16
10,1,3,96,35.92857142857143,0.008527483258928572,64,8,1,16
11,2,1,96,17.928571428571427,0.032871791294642856,128,8,1,16
7,7,0,96,0,0.08292061941964286,256,8,1,16
10,1,3,96,36.57142857142857,0.008527483258928572,0,8,2,16
10,1,3,96,36.57142857142857,0.008527483258928572,32,8,2,16
10,1,3,96,36.57142857142857,0.008527483258928572,64,8,2,16
10,1,3,96,36.57142857142857,0.008527483258928572,128,8,2,16
11,2,1,96,17.928571428571427,0.032871791294642856,256,8,2,16
10,1,3,96,36.57142857142857,0.008527483258928572,0,8,3,16
10,1,3,96,36.57142857142857,0.008527483258928572,32,8,3,16
10,1,3,96,36.57142857142857,0.008527483258928572,64,8,3,16
10,1,3,96,36.57142857142857,0.008527483258928572,128,8,3,16
10,1,3,96,36.57142857142857,0.008527483258928572,256,8,3,16
10,1,3,96,36.57142857142857,0.008527483258928572,0,8,4,16
10,1,3,96,36.57142857142857,0.008527483258928572,32,8,4,16
10,1,3,96,36.57142857142857,0.008527483258928572,64,8,4,16
10,1,3,96,36.57142857142857,0.008527483258928572,128,8,4,16
10,1,3,96,36.57142857142857,0.008527483258928572,256,8,4,16
10,1,3,96,40.5,0.008527483258928572,0,2,1,32
10,1,3,96,40.5,0.008527483258928572,32,2,1,32
11,2,1,96,21.571428571428573,0.032871791294642856,64,2,1,32
7,7,0,96,0,0.08292061941964286,128,2,1,32
